# ID, P1x, P1y, P1z, P2x, P2y, P2z, P3x, P3y, P3z, P4x, P4y, P4z
# Plate depth is 0.003  (3mm)
# FS1001100-2.stl
1, -3.24139, 0.0165185, 2.38934, -3.2444, 0.0165185, 2.38977, -3.2444, 0.0109814, 2.38977, -3.24139, 0.0109814, 2.38934
2, -3.23636, 0.0165185, 2.38863, -3.23937, 0.0165185, 2.38906, -3.23937, 0.0109814, 2.38906, -3.23671, 0.010835, 2.38868
3, -3.23133, 0.0165185, 2.38792, -3.23434, 0.0165185, 2.38835, -3.23434, 0.0109814, 2.38835, -3.23133, 0.0109814, 2.38792
4, -3.2263, 0.0165185, 2.38722, -3.22931, 0.0165185, 2.38764, -3.22931, 0.0109814, 2.38764, -3.2263, 0.0109814, 2.38722
# FS1001100-1.stl
5, -3.22052, 0.0165185, 2.3864, -3.22352, 0.0165185, 2.38682, -3.22352, 0.0109814, 2.38682, -3.22052, 0.0109814, 2.3864
6, -3.21549, 0.0165185, 2.38569, -3.2185, 0.0165185, 2.38611, -3.2185, 0.0109814, 2.38611, -3.21549, 0.0109814, 2.38569
7, -3.21046, 0.0165185, 2.38498, -3.21346, 0.0165185, 2.38541, -3.21346, 0.0109814, 2.38541, -3.21046, 0.0109814, 2.38498
8, -3.20543, 0.0165185, 2.38427, -3.20843, 0.0165185, 2.3847, -3.20843, 0.0109814, 2.3847, -3.20543, 0.0109814, 2.38427
# FS1001200-2.stk
9, -3.19041, 0.0240186, 2.38465, -3.19342, 0.0240186, 2.36423, -3.19342, 0.0184814, 2.38423, -3.19041, 0.0184814, 2.38465
10, -3.18538, 0.0240186, 2.38536, -3.18839, 0.0240186, 2.38494, -3.18839, 0.0184814, 2.38494, -3.18538, 0.0184814, 2.38536
11, -3.18035, 0.0240186, 2.38607, -3.18336, 0.0240186, 2.38565, -3.18336, 0.0184814, 2.38565, -3.18035, 0.0184814, 2.38607
12, -3.17532, 0.0240186, 2.38677, -3.17833, 0.0240186, 2.38635, -3.17833, 0.0184814, 2.38635, -3.17532, 0.0184814, 2.38677
# FS1001200-1.stl
13, -3.16953, 0.0240186, 2.38759, -3.17254, 0.0240186, 2.38717, -3.17254, 0.0184814, 2.38717, -3.16953, 0.0184814, 2.38759
14, -3.1645, 0.0240186, 2.38829, -3.16751, 0.0240186, 2.38787, -3.16751, 0.0184814, 2.38787, -3.1645, 0.0184814, 2.38829
15, -3.15947, 0.0240186, 2.389, -3.16248, 0.0240186, 2.38858, -3.16248, 0.0184814, 2.38858, -3.15947, 0.0184814, 2.389
16, -3.15444, 0.0240186, 2.38971, -3.15745, 0.0240186, 2.38929, -3.15745, 0.0184814, 2.38929, -3.15444, 0.0184814, 2.38971
# FS1001300-2.stl
17, -3.13747, 0.0165186, 2.39599, -3.14012, 0.0165186, 2.39451, -3.14012, 0.0109815, 2.39451, -3.13747, 0.0109815, 2.39599
18, -3.13302, 0.0165186, 2.39845, -3.13568, 0.0165186, 2.39698, -3.13568, 0.0109815, 2.39698, -3.13302, 0.0109815, 2.39845
19, -3.12858, 0.0165186, 2.40091, -3.13124, 0.0165186, 2.39944, -3.13124, 0.0109815, 2.39944, -3.12858, 0.0109815, 2.40091
20, -3.12414, 0.0165186, 2.40337, -3.12679, 0.0165186, 2.4019, -3.12679, 0.0109815, 2.4019, -3.12414, 0.0109815, 2.40337
# FS1001300-1.stl
21, -3.11903, 0.0165186, 2.40621, -3.12169, 0.0165186, 2.40473, -3.12169, 0.0109815, 2.40473, -3.11903, 0.0109815, 2.40621
22, -3.11459, 0.0165186, 2.40867, -3.11724, 0.0165186, 2.4072, -3.11724, 0.0109815, 2.4072, -3.11459, 0.0109815, 2.40867
23, -3.11014, 0.0165186, 2.41113, -3.1128, 0.0165186, 2.40966, -3.1128, 0.0109815, 2.40966, -3.11014, 0.0109815, 2.41113
24, -3.1057, 0.0165186, 2.41359, -3.10836, 0.0165186, 2.41212, -3.10836, 0.0109815, 2.41212, -3.1057, 0.0109815, 2.41359

# BACKUP SET
# FS1001200-3.stl
# 25 is not on front face, but recessed at foil level
25, -3.19125, -0.0114086, 2.38756, -3.19341, -0.0114086, 2.38726, -3.19341, -0.0160914, 2.38726, -3.19125, -0.0160914, 2.38756
26, -3.18577, -0.0109965, 2.38531, -3.18895, -0.0109965, 2.38486, -3.18895, -0.0165035, 2.38486, -3.18577, -0.0165035, 2.38531
27, -3.18035, -0.0109815, 2.38607, -3.18336, -0.0109815, 2.38565, -3.18336, -0.0165186, 2.38565, -3.18035, -0.0165186, 2.38607
28, -3.17532, -0.0109815, 2.38677, -3.17833, -0.0109815, 2.38635, -3.17833, -0.0165186, 2.38635, -3.17532, -0.0165186, 2.38677
# FS1001200-4.stl
29, -3.16953, -0.0109815, 2.38759, -3.17254, -0.0109815, 2.38717, -3.17254, -0.0165186, 2.38717, -3.16953, -0.0165186, 2.38759
30, -3.16394, -0.0109965, 2.38838, -3.16712, -0.0109965, 2.38793, -3.16712, -0.0165035, 2.38793, -3.16394, -0.0165035, 2.38838
31, -3.1582, -0.0109965, 2.38918, -3.16209, -0.0109965, 2.38863, -3.16209, -0.0165035, 2.38863, -3.1582, -0.0165035, 2.38918
# 32 is not on front face, but recessed at foil level
32, -3.15528, -0.0114086, 2.39262, -3.15745, -0.0114086, 2.39232, -3.15745, -0.0160914, 2.39232, -3.15528, -0.0160914, 2.39262

